Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
90	Spectrogram 1	1	129.36	129.42	0.0600000000000023	257.8125	398.4375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	129.36	5047.200418195313.wav	NN	NA	BlobDetector	0.871741542654879
91	Spectrogram 1	1	129.69	129.78	0.0900000000000034	0	117.1875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	129.69	5047.200418195313.wav	NN	NA	BlobDetector	0.635685592150415
92	Spectrogram 1	1	132.04	132.13	0.0900000000000034	0	105.46875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	132.04	5047.200418195313.wav	NN	NA	BlobDetector	0.763196904996122
93	Spectrogram 1	1	132.56	132.66	0.0999999999999943	70.3125	386.71875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	132.56	5047.200418195313.wav	FS	NA	BlobDetector	0.544070917812522
94	Spectrogram 1	1	133	133.06	0.0600000000000023	128.90625	234.375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	133	5047.200418195313.wav	NN	NA	BlobDetector	0.573777208337893
95	Spectrogram 1	1	133.01	133.07	0.0600000000000023	23.4375	82.03125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	133.01	5047.200418195313.wav	NN	NA	BlobDetector	0.610067869689496
96	Spectrogram 1	1	133.61	133.71	0.0999999999999943	58.59375	375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	133.61	5047.200418195313.wav	FS	NA	BlobDetector	0.512494866680774
97	Spectrogram 1	1	133.76	133.84	0.0800000000000125	937.5	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	133.76	5047.200418195313.wav	NN	NA	BlobDetector	1
98	Spectrogram 1	1	134.8	134.94	0.139999999999986	0	410.15625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	134.8	5047.200418195313.wav	NN	NA	BlobDetector	0.653345394564782
99	Spectrogram 1	1	135.17	135.27	0.0999999999999943	93.75	363.28125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	135.17	5047.200418195313.wav	FS	NA	BlobDetector	0.91743932521116
100	Spectrogram 1	1	136.4	136.5	0.0999999999999943	0	117.1875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	136.4	5047.200418195313.wav	NN	NA	BlobDetector	0.750148869982226
101	Spectrogram 1	1	136.43	136.48	0.0499999999999829	152.34375	234.375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	136.43	5047.200418195313.wav	NN	NA	BlobDetector	0.644486840829141
102	Spectrogram 1	1	140.53	140.66	0.129999999999995	0	281.25	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	140.53	5047.200418195313.wav	FS	NA	BlobDetector	0.576663732217463
103	Spectrogram 1	1	144.75	144.83	0.0800000000000125	0	82.03125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	144.75	5047.200418195313.wav	NN	NA	BlobDetector	0.517896376391843
104	Spectrogram 1	1	145.52	145.62	0.0999999999999943	0	363.28125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	145.52	5047.200418195313.wav	NN	NA	BlobDetector	0.724466693421275
105	Spectrogram 1	1	149.31	149.39	0.0800000000000125	0	70.3125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	149.31	5047.200418195313.wav	NN	NA	BlobDetector	0.54618835740785
106	Spectrogram 1	1	150.16	150.27	0.110000000000014	867.1875	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	150.16	5047.200418195313.wav	NN	NA	BlobDetector	1
107	Spectrogram 1	1	153.71	153.81	0.0999999999999943	0	292.96875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	153.71	5047.200418195313.wav	FS	NA	BlobDetector	0.554944995892613
